Uso_solo_1,Uso_solo_2,Municipio_1,Municipio_2,Area_m2_1,Area_m2_2,Fid_1,Last_last,Cn_mancha_1,Cn_mancha_2,Altitude_mancha_1,Altitude_mancha_2,Dif_altitude,Comprimento,Dif_cn,Valoracao
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"2059587,46","832043,65",10316,9730,79,30,"398,8837405","423,3052039","24,42146342","863,7555855",-49,"-1033614,596"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"35272412,57","832043,65",10595,9730,82,30,"384,7726229","423,3052039","38,53258108","2626,706544",-52,"-5263116,709"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"12964,43","29329,99",10236,9732,79,70,"322,75","325,6052632","2,855263158","235,9487914",-9,"-6063,263022"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"1457692,49","29329,99",10497,9732,20,70,"320,5253036","325,6052632","5,079959514","727,1542963",50,"184695,7193"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"29329,99",9505,9732,82,70,"352,2107826","325,6052632","26,60551942","786,6562785",12,"251152,7867"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"76859,93",9505,9734,82,70,"352,2107826","356,3297872","4,119004659","59,59471321",-12,"-2945,650816"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"35272412,57","76859,93",10595,9734,82,70,"384,7726229","356,3297872","28,44283562","121,0363921",12,"41311,41847"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"54746,25","10501,57",10245,9738,79,70,"373,984375","377,047619","3,063244048","248,0406387",-9,"-6838,281091"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"35272412,57","10501,57",10595,9738,82,70,"384,7726229","377,047619","7,725003807","407,6001537",12,"37784,55287"
Várzea,Floresta Nativa,Mariluz,Alto Piquiri,"384744,31","1952777,44",363352,9740,20,70,"295,669708","311,048522","15,378814","6598,696047",50,"5074005,958"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"1952777,44",9505,9740,82,70,"352,2107826","311,048522","41,16226055","8015,190189",12,"3959080,162"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"32070937,64","1952777,44",9941,9740,82,70,"363,9671945","311,048522","52,91867249","7317,305779",12,"4646665,296"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"35272412,57","1952777,44",10595,9740,82,70,"384,7726229","311,048522","73,72410082","1904,919611",12,"1685261,825"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"1457692,49","55782,74",10497,9741,20,70,"320,5253036","316,5890411","3,936262548","1590,804767",-50,"-313091,2613"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"36242,05","55782,74",10241,9741,79,70,"323,6666667","316,5890411","7,077625571","195,9417299",9,"12481,21978"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"20209058,41","55782,74",10098,9741,82,70,"367,7258836","316,5890411","51,13684252","847,8382993",12,"520269,2831"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"1457692,49","40977,19",10497,9742,20,70,"320,5253036","320,2692308","0,256072875","795,2828667",-50,"-10182,51851"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"20209058,41","40977,19",10098,9742,82,70,"367,7258836","320,2692308","47,45665284","691,6929177",12,"393905,168"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"53022,61",9505,9748,82,30,"352,2107826","403,4423077","51,23152512","965,4875426",-52,"-2572096,763"
Agricultura Anual,Floresta Nativa,Mariluz,Alto Piquiri,"2102448,66","7707516,73",363232,9750,82,70,"357,1259655","351,2302945","5,895671057","1953,010431",12,"138171,6848"
Plantios Florestais,Floresta Nativa,Mariluz,Alto Piquiri,"49818,98","7707516,73",363886,9750,36,70,"364,254902","351,2302945","13,02460748","805,9064317",-34,"-356884,9079"
Pastagem/Campo,Floresta Nativa,Mariluz,Alto Piquiri,"3229176,26","7707516,73",363762,9750,52,70,"338,1424958","351,2302945","13,0877987","1011,943658",18,"238394,068"
Pastagem/Campo,Floresta Nativa,Mariluz,Alto Piquiri,"9323563,05","7707516,73",363753,9750,79,70,"366,708279","351,2302945","15,47798457","6205,483779",9,"864435,4394"
Várzea,Floresta Nativa,Mariluz,Alto Piquiri,"151157,86","7707516,73",363972,9750,20,70,"334,6884422","351,2302945","16,54185227","94,48457843",50,"78147,49691"
Agricultura Anual,Floresta Nativa,Mariluz,Alto Piquiri,102600000,"7707516,73",364078,9750,82,70,"378,4341431","351,2302945","27,20384859","4268,373857",12,"1393394,353"
Pastagem/Campo,Floresta Nativa,Mariluz,Alto Piquiri,"2221091,57","7707516,73",363763,9750,52,70,"383,6579464","351,2302945","32,42765189","452,6998301",-18,"-264239,865"
Várzea,Floresta Nativa,Mariluz,Alto Piquiri,"384744,31","7707516,73",363352,9750,20,70,"295,669708","351,2302945","55,56058645","3018,489342",50,"8385451,901"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"20209058,41","71598,76",10098,9751,82,70,"367,7258836","387,9090909","20,1832073","740,4091232",-12,"-179325,9698"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"104468,77","13404,09",10490,9752,20,70,"340,1652893",338,"2,165289256","438,7866806",-50,"-47505,00425"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"20209058,41","13404,09",10098,9752,82,70,"367,7258836",338,"29,72588361","190,924913",12,"68104,9409"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"114642,05",78654,10277,9754,52,30,"314,7173913",310,"4,717391304","984,0212343",22,"102124,2907"
Várzea,Floresta Nativa,Mariluz,Alto Piquiri,"384744,31",78654,363352,9754,20,30,"295,669708",310,"14,33029197","1240,075214",10,"177706,3989"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"349871,4","126833,37",10286,9755,79,70,"349,4587459","366,015748","16,55700216","823,7512762",-9,"-122749,6649"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"35272412,57","126833,37",10595,9755,82,70,"384,7726229","366,015748","18,75687482","2049,727934",12,"461357,8834"
