"Uso_solo","Municipio","Area_m2","Fid_1","Last_last","Cn_mancha1","Cn_mancha2","Altitude_mancha1","Altitude_mancha2","Dif_altitude","Comprimento","Dif_cn","Valoracao"
"Várzea","Alto Piquiri","1457692,49","10497","10249","20","79","320,5253036","327,88","7,354696356","354,7955228","59","153955,387"
"Pastagem/Campo","Alto Piquiri","12384,46","10249","10249","20","79","320,5253036","327,88","7,354696356","354,7955228","59","153955,387"
"Agricultura Anual","Alto Piquiri","117000000","9505","10249","82","79","352,2107826","327,88","24,33078258","402,449983","3","29375,7691"
"Pastagem/Campo","Alto Piquiri","12384,46","10249","10249","82","79","352,2107826","327,88","24,33078258","402,449983","3","29375,7691"
"Várzea","Alto Piquiri","1457692,49","10497","10250","20","79","320,5253036","315,1875","5,337803644","617,0440833","-59","-194325,9492"
"Pastagem/Campo","Alto Piquiri","21754,99","10250","10250","20","79","320,5253036","315,1875","5,337803644","617,0440833","-59","-194325,9492"
"Várzea","Alto Piquiri","1457692,49","10497","10251","20","79","320,5253036","314,7333333","5,791970311","648,5123318","-59","-221613,6861"
"Pastagem/Campo","Alto Piquiri","21220,6","10251","10251","20","79","320,5253036","314,7333333","5,791970311","648,5123318","-59","-221613,6861"
"Várzea","Alto Piquiri","1457692,49","10497","10252","20","79","320,5253036","326,75","6,224696356","1015,572035","59","372976,0251"
"Pastagem/Campo","Alto Piquiri","31821,36","10252","10252","20","79","320,5253036","326,75","6,224696356","1015,572035","59","372976,0251"
"Agricultura Anual","Alto Piquiri","117000000","9505","10252","82","79","352,2107826","326,75","25,46078258","980,0347255","3","74857,35319"
"Pastagem/Campo","Alto Piquiri","31821,36","10252","10252","82","79","352,2107826","326,75","25,46078258","980,0347255","3","74857,35319"
"Agricultura Anual","Alto Piquiri","117000000","9505","10253","82","52","352,2107826","394,2322581","42,02147549","2261,107263","-30","-2850451,902"
"Pastagem/Campo","Alto Piquiri","249288,96","10253","10253","82","52","352,2107826","394,2322581","42,02147549","2261,107263","-30","-2850451,902"
"Agricultura Anual","Alto Piquiri","117000000","9505","10254","82","52","352,2107826","372,2","19,98921743","398,0190837","-30","-238682,7001"
"Pastagem/Campo","Alto Piquiri","11483,4","10254","10254","82","52","352,2107826","372,2","19,98921743","398,0190837","-30","-238682,7001"
"Floresta Nativa","Alto Piquiri","354419,42","9728","10254","70","52","343,6957746","372,2","28,50422535","108,8222631","-18","-55834,0976"
"Pastagem/Campo","Alto Piquiri","11483,4","10254","10254","70","52","343,6957746","372,2","28,50422535","108,8222631","-18","-55834,0976"
"Agricultura Anual","Alto Piquiri","35272412,57","10595","10255","82","52","384,7726229","367,4230769","17,34954593","474,2317313","30","246831,1561"
"Pastagem/Campo","Alto Piquiri","11982,34","10255","10255","82","52","384,7726229","367,4230769","17,34954593","474,2317313","30","246831,1561"
"Agricultura Anual","Alto Piquiri","20381,61","10593","10256","60","52","411,4516129","404,1785714","7,273041474","219,7841382","8","12787,99322"
"Pastagem/Campo","Alto Piquiri","13060,67","10256","10256","60","52","411,4516129","404,1785714","7,273041474","219,7841382","8","12787,99322"
"Agricultura Anual","Alto Piquiri","35272412,57","10595","10256","82","52","384,7726229","404,1785714","19,40594857","349,1620563","-30","-203274,6272"
